year,name,wins,losses,Margin_of_Victory,True_Shooting_Percentage,Simple_Rating_System
2020,Milwaukee Bucks,56,17,10.08,.583,9.41
2020,Boston Celtics,48,24,6.31,.570,5.83
2020,Los Angeles Clippers,49,23,6.44,.577,6.66
2020,Toronto Raptors,53,19,6.24,.574,5.97
2020,Los Angeles Lakers,52,19,5.79,.573,6.28
2020,Dallas Mavericks,43,32,4.95,.581,4.87
2020,Miami Heat,44,29,2.95,.587,2.59
2020,Houston Rockets,44,28,2.96,.578,3.13
2020,Utah Jazz,44,28,2.47,.585,2.52
2020,Philadelphia 76ers,43,30,2.38,.566,2.25
2020,Denver Nuggets,46,27,2.11,.567,2.35
2020,Indiana Pacers,45,28,1.96,.565,1.63
2020,Oklahoma City Thunder,44,28,1.99,.573,2.33
2020,Phoenix Suns,34,39,0.22,.576,0.56
2020,Brooklyn Nets,35,37,-0.57,.554,-1.01
2020,Orlando Magic,33,40,-1.01,.544,-0.93
2020,San Antonio Spurs,32,39,-1.11,.572,-0.65
2020,Memphis Grizzlies,34,39,-1.07,.561,-0.91
2020,Portland Trail Blazers,35,39,-1.15,.570,-0.61
2020,New Orleans Pelicans,30,42,-1.29,.568,-0.55
2020,Sacramento Kings,31,41,-2.04,.566,-1.59
2020,Chicago Bulls,22,43,-3.08,.547,-4.00
2020,Detroit Pistons,20,46,-3.56,.561,-4.38
2020,Minnesota Timberwolves,19,45,-4.30,.551,-4.02
2020,Washington Wizards,25,47,-4.67,.562,-5.24
2020,New York Knicks,21,45,-6.45,.531,-6.72
2020,Charlotte Hornets,23,42,-6.75,.539,-7.03
2020,Atlanta Hawks,20,47,-7.97,.554,-7.71
2020,Cleveland Cavaliers,19,46,-7.89,.553,-7.77
2020,Golden State Warriors,15,50,-8.71,.540,-8.12
2020,League Average,,,0.00,.565,0.00
2021,Utah Jazz,52,20,9.25,.597,8.97
2021,Los Angeles Clippers,47,25,6.18,.599,6.02
2021,Phoenix Suns,51,21,5.82,.597,5.67
2021,Milwaukee Bucks,46,26,5.89,.593,5.57
2021,Philadelphia 76ers,49,23,5.58,.579,5.28
2021,Denver Nuggets,47,25,4.93,.588,4.82
2021,Brooklyn Nets,48,24,4.50,.610,4.24
2021,Los Angeles Lakers,42,30,2.79,.569,2.77
2021,Dallas Mavericks,42,30,2.26,.582,2.26
2021,New York Knicks,41,31,2.31,.559,2.13
2021,Atlanta Hawks,41,31,2.32,.581,2.14
2021,Portland Trail Blazers,42,30,1.79,.577,1.81
2021,Boston Celtics,36,36,1.46,.574,1.32
2021,Golden State Warriors,39,33,1.06,.583,1.10
2021,Memphis Grizzlies,38,34,1.03,.560,1.07
2021,Miami Heat,40,32,0.03,.581,-0.06
2021,Indiana Pacers,34,38,-0.04,.575,-0.13
2021,New Orleans Pelicans,31,41,-0.29,.570,-0.20
2021,Toronto Raptors,27,45,-0.47,.567,-0.54
2021,Chicago Bulls,31,41,-0.89,.575,-0.94
2021,San Antonio Spurs,33,39,-1.74,.554,-1.58
2021,Washington Wizards,34,38,-1.83,.569,-1.85
2021,Charlotte Hornets,33,39,-1.93,.564,-1.94
